gm_id,n_stems,wall_seconds,active_seconds,label,wall_hours,active_hours,active_frac
29,118,24966.521904761903,14367.643151927437,Overdriven Guitar (29),6.935144973544973,3.9910119866465106,0.5754763601728231
39,127,22979.036780045353,14024.620272108843,Synth Bass 2 (39),6.38306577223482,3.8957278533635673,0.6103223736639654
79,130,30696.70240362812,14021.063106575964,Ocarina (79),8.52686177878559,3.894739751826657,0.4567612156580956
114,155,30968.57977324263,13999.449138321996,Steel Drums (114),8.602383270345175,3.88873587175611,0.4520533147089216
54,158,22945.6577324263,13294.440702947846,Synth Voice (54),6.373793814562862,3.6929001952632907,0.5793880854485349
51,126,27379.706077097508,12612.28732426304,Synth Strings 2 (51),7.605473910304863,3.503413145628622,0.460643634696025
63,123,27533.17172335601,11984.4241723356,Synth Brass 2 (63),7.64810325648778,3.329006714537667,0.43527219794185135
75,99,24467.03498866213,11078.83126984127,Pan Flute (75),6.796398607961703,3.077453130511464,0.45280645059669594
5,86,17141.158231292517,10406.244920634921,Electric Piano 2 (5),4.761432842025699,2.890623589065256,0.6070911183608066
103,130,25666.32700680272,10293.983310657597,FX 8 (sci-fi) (103),7.129535279667422,2.859439808515999,0.4010695923857447
8,151,44208.82657596372,10244.845351473923,Celesta (8),12.280229604434368,2.845790375409423,0.23173755435173735
3,91,15261.084535147393,10183.960770975056,Honky-tonk Piano (3),4.239190148652053,2.8288779919375155,0.6673156647236079
89,102,36988.480158730155,9586.770272108843,Pad 2 (warm) (89),10.274577821869487,2.6629917422524563,0.259182594985486
105,123,22267.926462585034,9362.930884353742,Banjo (105),6.185535128495843,2.600814134542706,0.42046711893383987
90,98,22483.550476190478,8454.508117913832,Pad 3 (polysynth) (90),6.245430687830688,2.3484744771982866,0.37603082871039195
88,73,16143.469909297051,8109.845986394557,Pad 1 (new age) (88),4.484297197026959,2.25273499622071,0.5023607707611908
2,69,11713.763605442176,7332.766780045352,Electric Grand Piano (2),3.2538232237339377,2.036879661123709,0.6259957966574101
35,50,8439.382335600907,7078.911723356009,Fretless Bass (35),2.344272871000252,1.9663643675988913,0.8387950020339932
7,67,11979.72462585034,6669.659886621315,Clavinet (7),3.3277012849584278,1.8526833018392543,0.5567456761259144
100,64,13231.93179138322,6026.1780725623585,FX 5 (brightness) (100),3.675536608717561,1.673938353489544,0.45542692991258255
